4.51936,12.066,7.19932,2.19549,-2.85983,-7.88013,-12.7795,-17.4742,-21.8838,-25.9329,-29.5522,-32.6797,-35.262,-37.2549,-38.6243,-39.3468,-39.4099,-38.8126,-37.5652,-35.6889,-33.2159,-30.1885,-26.6585,-22.6863,-18.3398,-13.6934,-2.83068,552.532,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-35.6889,-33.2159,-30.1885,-26.6585,-22.6863,-18.3398,-13.6934,-2.83068,552.532,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-119.744,12.1417,107.573,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-35.6889,-33.2159,-30.1885,-26.6585,-22.6863,-18.3398,-13.6934,-2.83068,552.532,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77.9895,6.57003,4.26216,-0.0397284,-223.284,-374.733,-0.982036,-3.24036,498.858,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-35.6889,-33.2159,-30.1885,-26.6585,-22.6863,-18.3398,-13.6934,-2.83068,552.532,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-113.735,5.76432,105.193,-0.0397284,-223.284,-374.733,-0.982036,-3.24036,498.858,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-35.6889,-33.2159,-30.1885,-26.6585,-22.6863,-18.3398,-13.6934,-2.83068,552.532,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-13.9142,-94.1332,107.408,-0.0397284,-223.284,-374.733,-0.982036,-3.24036,498.858,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-35.6889,-33.2159,-30.1885,-26.6585,-22.6863,-18.3398,-13.6934,-2.83068,552.532,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-13.9142,-94.1332,107.408,-0.0397284,-223.284,-374.733,-0.982036,-3.24036,498.858,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-35.6889,-33.2159,-30.1885,-26.6585,-22.6863,-18.3398,-13.6934,-2.83068,552.532,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-97.9083,-21.0127,117.632,-0.0397284,-223.284,-374.733,-0.982036,-3.24036,498.858,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-35.6889,-33.2159,-30.1885,-26.6585,-22.6863,-18.3398,-13.6934,-2.83068,552.532,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-45.0643,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-35.6889,-33.2159,-30.1885,-26.6585,-22.6863,-18.3398,-13.6934,-2.83068,552.532,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.3807,-183.801,-27.545,171.279,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-35.6889,-33.2159,-30.1885,-26.6585,-22.6863,-18.3398,-13.6934,-2.83068,552.532,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.3807,-183.801,-27.545,171.279,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-35.6889,-33.2159,-30.1885,-26.6585,-22.6863,-18.3398,-13.6934,-2.83068,552.532,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
