optimized_right_x,optimized_right_y,optimized_left_x,optimized_left_y
167.688,15.8686,163.176,22.7475
168.203,17.1756,164.519,23.1842
169.337,17.6604,164.515,23.0981
169.279,17.5638,166.072,22.5103
169.765,16.9111,166.081,22.6257
169.534,16.6561,167.352,22.5293
169.687,15.5286,167.36,22.5787
169.769,15.5864,168.761,22.6031
169.752,14.512,168.558,21.8061
169.637,14.4649,170.555,23.1494
169.456,13.6503,171.718,26.1038
169.35,13.6291,173.73,25.0117
168.691,12.6706,175.67,23.4419
165.57,12.0363,177.546,21.0856
165.516,11.4015,177.157,20.8105
169.608,10.1972,175.732,16.9421
169.992,10.1572,175.9,17.0104
170.021,9.22254,176.076,14.9752
169.888,9.24115,176.039,14.9677
169.9,8.28342,175.903,13.1924
170.125,8.24476,175.903,13.1924
169.383,7.07062,175.899,11.9146
169.833,6.98432,175.841,11.9153
167.614,6.11922,175.764,10.7092
168.362,5.97258,175.769,10.7089
169.777,4.14584,175.652,9.56724
168.802,4.32297,175.652,9.56724
168.73,3.11539,175.592,8.44397
168.763,3.11088,175.514,8.455
168.658,1.94493,175.506,7.32111
168.609,1.94915,175.528,7.31724
168.596,0.284605,175.446,5.90638
168.695,0.284369,175.446,5.90638
168.589,-1.58615,175.468,4.58008
168.959,-1.52673,174.669,4.7367
168.998,-3.67554,176.354,2.95113
168.266,-3.98866,178.4,2.57958
168.546,-6.71121,175.226,2.21435
170.186,-8.00283,175.158,1.37638
170.586,-7.52769,175.169,0.268864
173.512,-7.25602,175.346,-0.501764
173.532,-7.21779,173.967,-1.55243
175.119,-7.24371,173.57,-1.72189
175.162,-7.10834,173.879,-2.6816
176.437,-7.60424,173.729,-2.79463
176.47,-7.44058,174.279,-3.13173
177.812,-7.57791,174.47,-2.90505
177.75,-7.99831,175.351,-3.71291
179.137,-8.06582,175.321,-3.76986
179.176,-7.718,176.178,-3.92407
180.261,-7.68109,176.21,-3.82312
180.23,-8.02969,177.236,-3.66813
181.332,-8.11175,177.287,-3.41643
181.332,-8.11175,178.447,-3.29663
182.459,-8.09528,178.435,-3.377
182.456,-8.13581,179.657,-3.42305
183.615,-8.20562,179.662,-3.37957
183.672,-7.26659,180.64,-3.4668
184.769,-8.39652,180.644,-3.42323
184.742,-8.9877,181.681,-3.40438
186.003,-7.52596,181.681,-3.41461
185.971,-8.35659,182.776,-3.39343
187.203,-8.39815,182.776,-3.38407
187.2,-8.47603,183.89,-3.6418
188.438,-8.5152,183.887,-3.68411
188.439,-8.47694,184.982,-3.73379
189.674,-8.51469,184.981,-3.75154
189.674,-8.50922,186.154,-3.61481
190.963,-8.45241,186.157,-3.54455
190.963,-8.45241,187.368,-3.49
192.265,-8.39379,187.365,-3.59619
192.269,-8.25088,188.592,-3.63502
193.553,-8.44941,188.594,-3.5869
193.553,-8.43847,189.821,-3.71634
194.877,-8.47087,189.823,-3.63513
194.872,-8.68136,191.106,-3.5758
196.222,-8.71224,191.104,-3.65877
196.224,-8.62476,192.388,-3.97068
197.571,-8.74469,192.384,-4.10052
197.57,-8.81352,193.668,-3.96788
198.918,-8.74749,193.674,-3.73827
198.918,-8.74749,194.995,-3.67339
200.279,-8.68192,194.992,-3.75803
200.283,-8.47757,196.333,-3.88089
201.64,-8.66594,196.335,-3.79185
201.634,-8.90172,197.678,-3.82094
202.997,-8.83472,197.676,-3.90998
202.997,-8.82242,199.023,-3.93925
204.333,-8.94342,199.021,-3.98924
204.334,-8.89948,200.381,-4.01897
205.683,-9.01542,200.38,-4.06896
205.683,-9.01229,201.73,-4.44181
207.044,-9.03586,201.73,-4.44181
207.043,-9.08897,203.095,-4.12637
208.405,-9.11073,203.096,-4.08731
208.407,-9.00762,204.427,-4.20216
209.775,-8.76197,204.429,-4.09818
209.774,-8.85463,205.771,-4.12247
211.133,-9.06243,205.765,-4.46665
211.133,-9.06243,207.122,-4.49015
212.466,-9.17425,207.128,-4.19283
212.467,-9.12425,208.48,-4.39883
213.817,-8.77205,208.479,-4.48007
213.817,-8.71932,209.837,-4.24101
215.152,-8.64807,209.824,-5.24873
215.151,-8.68674,211.194,-4.25617
216.497,-8.70409,211.252,0.366508
216.499,-8.57627,212.584,0.350019
217.817,-8.59524,213.928,0.333518
217.816,-8.69835,215.263,0.316967
219.12,-9.16843,216.613,0.299558
219.118,-9.26841,216.585,-1.88581
220.41,-9.39555,217.88,-4.25692
220.41,-9.39555,217.885,-3.90657
221.704,-9.43427,219.222,-3.77418
221.706,-9.38117,219.231,-3.29087
222.961,-9.51694,220.559,-3.32346
222.961,-9.50816,220.558,-3.35275
224.182,-9.4596,221.882,-3.48927
224.18,-9.52099,221.88,-3.5408
225.405,-9.37437,223.166,-3.58535
225.41,-9.23384,223.127,-4.70967
226.588,-9.36294,224.41,-3.02778
226.585,-9.46288,224.441,-2.14943
227.737,-9.59806,225.664,-2.19348
227.737,-9.59806,225.745,0.0492053
228.86,-9.72914,226.931,0.00578326
228.86,-9.72914,228.093,-0.0375096
229.978,-9.7429,229.194,-0.0755287
229.977,-9.79915,229.093,-2.98004
231.441,-9.72388,230.03,-5.25883
231.438,-9.66772,230.037,-4.65887
232.962,-9.40658,231.155,-4.5912
232.962,-9.40658,231.164,-4.75812
235.054,-9.29302,231.877,-3.56738
234.993,-9.14899,231.764,-2.9576
237.649,-9.52637,232.221,-2.55985
238.038,-10.0426,232.254,-2.38098
240.75,-9.39464,232.37,-2.11546
242.097,-7.33712,234.164,-2.67795
243.014,-5.2539,234.831,-3.06964
243.606,-3.16264,235.24,-2.16148
242.919,-2.9889,235.344,-2.20306
239.555,-0.528604,235.253,-1.05109
238.804,-0.421916,234.284,-0.806247
238.801,0.720579,233.463,0.336437
238.743,0.725157,233.108,0.386891
238.661,1.78906,235.006,1.02049
